filename,split,label
normal_111.h5,train,normal
normal_030.h5,train,normal
normal_085.h5,train,normal
normal_119.h5,train,normal
normal_150.h5,train,normal
normal_092.h5,train,normal
normal_025.h5,train,normal
normal_074.h5,train,normal
normal_047.h5,train,normal
normal_080.h5,train,normal
normal_081.h5,train,normal
normal_108.h5,train,normal
normal_038.h5,train,normal
normal_158.h5,train,normal
normal_011.h5,train,normal
normal_127.h5,train,normal
normal_016.h5,train,normal
normal_069.h5,train,normal
normal_059.h5,train,normal
normal_095.h5,train,normal
normal_006.h5,train,normal
normal_105.h5,train,normal
normal_034.h5,train,normal
normal_078.h5,train,normal
normal_045.h5,train,normal
normal_135.h5,train,normal
normal_046.h5,train,normal
normal_013.h5,train,normal
normal_049.h5,train,normal
normal_012.h5,train,normal
normal_154.h5,val,normal
normal_088.h5,val,normal
normal_147.h5,val,normal
normal_040.h5,val,normal
normal_138.h5,val,normal
normal_089.h5,val,normal
normal_151.h5,val,normal
normal_041.h5,val,normal
normal_002.h5,val,normal
normal_072.h5,val,normal
normal_116.h5,val,normal
normal_057.h5,val,normal
normal_109.h5,val,normal
normal_153.h5,val,normal
normal_051.h5,val,normal
normal_159.h5,val,normal
normal_131.h5,val,normal
normal_060.h5,val,normal
normal_056.h5,val,normal
normal_024.h5,val,normal
normal_008.h5,val,normal
normal_009.h5,val,normal
normal_110.h5,val,normal
normal_023.h5,val,normal
normal_141.h5,val,normal
normal_027.h5,val,normal
normal_036.h5,val,normal
normal_058.h5,val,normal
normal_063.h5,val,normal
normal_071.h5,val,normal
normal_007.h5,val,normal
normal_029.h5,val,normal
tumor_013.h5,train,tumor
tumor_049.h5,train,tumor
tumor_067.h5,train,tumor
tumor_092.h5,train,tumor
tumor_019.h5,train,tumor
tumor_062.h5,train,tumor
tumor_100.h5,train,tumor
tumor_060.h5,train,tumor
tumor_010.h5,train,tumor
tumor_106.h5,train,tumor
tumor_076.h5,train,tumor
tumor_030.h5,train,tumor
tumor_006.h5,train,tumor
tumor_024.h5,train,tumor
tumor_027.h5,train,tumor
tumor_037.h5,train,tumor
tumor_025.h5,train,tumor
tumor_096.h5,train,tumor
tumor_044.h5,train,tumor
tumor_097.h5,train,tumor
tumor_109.h5,train,tumor
tumor_012.h5,train,tumor
tumor_102.h5,train,tumor
tumor_088.h5,train,tumor
tumor_075.h5,train,tumor
tumor_045.h5,train,tumor
tumor_007.h5,train,tumor
tumor_035.h5,train,tumor
tumor_105.h5,train,tumor
tumor_053.h5,train,tumor
tumor_074.h5,train,tumor
tumor_051.h5,train,tumor
tumor_084.h5,train,tumor
tumor_079.h5,train,tumor
tumor_107.h5,train,tumor
tumor_032.h5,train,tumor
tumor_018.h5,train,tumor
tumor_059.h5,train,tumor
tumor_033.h5,train,tumor
tumor_043.h5,train,tumor
tumor_056.h5,train,tumor
tumor_090.h5,train,tumor
tumor_103.h5,train,tumor
tumor_050.h5,train,tumor
tumor_004.h5,train,tumor
tumor_041.h5,train,tumor
tumor_046.h5,train,tumor
tumor_064.h5,train,tumor
tumor_094.h5,train,tumor
tumor_066.h5,train,tumor
tumor_054.h5,train,tumor
tumor_080.h5,train,tumor
tumor_036.h5,train,tumor
tumor_038.h5,train,tumor
tumor_002.h5,train,tumor
tumor_083.h5,train,tumor
tumor_005.h5,train,tumor
tumor_089.h5,train,tumor
tumor_016.h5,train,tumor
tumor_085.h5,train,tumor
tumor_029.h5,train,tumor
tumor_072.h5,train,tumor
tumor_058.h5,train,tumor
tumor_057.h5,train,tumor
tumor_099.h5,train,tumor
tumor_052.h5,train,tumor
tumor_087.h5,train,tumor
tumor_101.h5,train,tumor
tumor_028.h5,train,tumor
tumor_055.h5,train,tumor
tumor_095.h5,train,tumor
tumor_034.h5,train,tumor
tumor_022.h5,train,tumor
tumor_071.h5,train,tumor
tumor_061.h5,train,tumor
tumor_093.h5,train,tumor
tumor_017.h5,train,tumor
tumor_069.h5,train,tumor
tumor_009.h5,train,tumor
tumor_091.h5,train,tumor
tumor_104.h5,train,tumor
tumor_011.h5,train,tumor
tumor_073.h5,train,tumor
tumor_086.h5,train,tumor
tumor_008.h5,train,tumor
tumor_031.h5,train,tumor
tumor_040.h5,train,tumor
tumor_047.h5,train,tumor
tumor_015.h5,val,tumor
tumor_003.h5,val,tumor
tumor_063.h5,val,tumor
tumor_042.h5,val,tumor
tumor_077.h5,val,tumor
tumor_001.h5,val,tumor
tumor_068.h5,val,tumor
tumor_070.h5,val,tumor
tumor_021.h5,val,tumor
tumor_110.h5,val,tumor
tumor_048.h5,val,tumor
tumor_020.h5,val,tumor
tumor_026.h5,val,tumor
tumor_078.h5,val,tumor
tumor_108.h5,val,tumor
tumor_082.h5,val,tumor
tumor_039.h5,val,tumor
tumor_081.h5,val,tumor
tumor_014.h5,val,tumor
tumor_111.h5,val,tumor
tumor_023.h5,val,tumor
tumor_098.h5,val,tumor
tumor_065.h5,val,tumor
test_001.h5,test,
test_002.h5,test,
test_003.h5,test,
test_004.h5,test,
test_005.h5,test,
test_006.h5,test,
test_007.h5,test,
test_008.h5,test,
test_009.h5,test,
test_010.h5,test,
test_011.h5,test,
test_012.h5,test,
test_013.h5,test,
test_014.h5,test,
test_015.h5,test,
test_016.h5,test,
test_017.h5,test,
test_018.h5,test,
test_019.h5,test,
test_020.h5,test,
test_021.h5,test,
test_022.h5,test,
test_023.h5,test,
test_024.h5,test,
test_025.h5,test,
test_026.h5,test,
test_027.h5,test,
test_028.h5,test,
test_029.h5,test,
test_030.h5,test,
test_031.h5,test,
test_032.h5,test,
test_033.h5,test,
test_034.h5,test,
test_035.h5,test,
test_036.h5,test,
test_037.h5,test,
test_038.h5,test,
test_039.h5,test,
test_040.h5,test,
test_041.h5,test,
test_042.h5,test,
test_043.h5,test,
test_044.h5,test,
test_045.h5,test,
test_046.h5,test,
test_047.h5,test,
test_048.h5,test,
test_049.h5,test,
test_050.h5,test,
test_051.h5,test,
test_052.h5,test,
test_053.h5,test,
test_054.h5,test,
test_055.h5,test,
test_056.h5,test,
test_057.h5,test,
test_058.h5,test,
test_059.h5,test,
test_060.h5,test,
test_061.h5,test,
test_062.h5,test,
test_063.h5,test,
test_064.h5,test,
test_065.h5,test,
test_066.h5,test,
test_067.h5,test,
test_068.h5,test,
test_069.h5,test,
test_070.h5,test,
test_071.h5,test,
test_072.h5,test,
test_073.h5,test,
test_074.h5,test,
test_075.h5,test,
test_076.h5,test,
test_077.h5,test,
test_078.h5,test,
test_079.h5,test,
test_080.h5,test,
test_081.h5,test,
test_082.h5,test,
test_083.h5,test,
test_084.h5,test,
test_085.h5,test,
test_086.h5,test,
test_087.h5,test,
test_088.h5,test,
test_089.h5,test,
test_090.h5,test,
test_091.h5,test,
test_092.h5,test,
test_093.h5,test,
test_094.h5,test,
test_095.h5,test,
test_096.h5,test,
test_097.h5,test,
test_098.h5,test,
test_099.h5,test,
test_100.h5,test,
test_101.h5,test,
test_102.h5,test,
test_103.h5,test,
test_104.h5,test,
test_105.h5,test,
test_106.h5,test,
test_107.h5,test,
test_108.h5,test,
test_109.h5,test,
test_110.h5,test,
test_111.h5,test,
test_112.h5,test,
test_113.h5,test,
test_114.h5,test,
test_115.h5,test,
test_116.h5,test,
test_117.h5,test,
test_118.h5,test,
test_119.h5,test,
test_120.h5,test,
test_121.h5,test,
test_122.h5,test,
test_123.h5,test,
test_124.h5,test,
test_125.h5,test,
test_126.h5,test,
test_127.h5,test,
test_128.h5,test,
test_129.h5,test,
test_130.h5,test,
